id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow
1049,SUNPHARMA,Mar 2024,12135,-763,-6710,4662
1050,TATACONSUM,Mar 2013,173,24,186,383
1051,TATACONSUM,Mar 2014,422,-1,-363,57
1052,TATACONSUM,Mar 2015,418,-207,-392,-182
1053,TATACONSUM,Mar 2016,116,145,-282,-21
1054,TATACONSUM,Mar 2017,741,145,-816,70
1055,TATACONSUM,Mar 2018,356,-31,-30,294
1056,TATACONSUM,Mar 2019,210,53,-224,39
1057,TATACONSUM,Mar 2020,1082,-622,-308,152
1058,TATACONSUM,Mar 2021,1656,-346,-426,884
1059,TATACONSUM,Mar 2022,1516,-1317,-995,-796
1060,TATACONSUM,Mar 2023,1461,-834,-714,-87
1061,TATACONSUM,Mar 2024,1937,-1911,256,281
1062,TATAMOTORS,Mar 2013,22163,-22969,-1692,-2499
1063,TATAMOTORS,Mar 2014,36151,-27991,-3883,4277
1064,TATAMOTORS,Mar 2015,35531,-36232,5201,4500
1065,TATAMOTORS,Mar 2016,37900,-36694,-3795,-2589
1066,TATAMOTORS,Mar 2017,30199,-39571,6205,-3167
1067,TATAMOTORS,Mar 2018,23857,-25139,2012,730
1068,TATAMOTORS,Mar 2019,18891,-20878,8830,6843
1069,TATAMOTORS,Mar 2020,26633,-33115,3390,-3092
1070,TATAMOTORS,Mar 2021,29001,-25672,9904,13232
1071,TATAMOTORS,Mar 2022,14283,-4444,-3380,6459
1072,TATAMOTORS,Mar 2023,35388,-15417,-26243,-6272
1073,TATAMOTORS,Mar 2024,67915,-22782,-37006,8128
1074,TATAPOWER,Mar 2013,3286,-4026,-593,-1333
1075,TATAPOWER,Mar 2014,6483,-3609,-3265,-392
1076,TATAPOWER,Mar 2015,5981,-3865,-2239,-123
1077,TATAPOWER,Mar 2016,7415,-1805,-6183,-574
1078,TATAPOWER,Mar 2017,7014,-7373,937,579
1079,TATAPOWER,Mar 2018,6364,-1512,-4726,126
1080,TATAPOWER,Mar 2019,4574,-272,-5184,-883
1081,TATAPOWER,Mar 2020,7375,-493,-5110,1773
1082,TATAPOWER,Mar 2021,8345,993,-7603,1736
1083,TATAPOWER,Mar 2022,6693,-6250,-1183,-741
1084,TATAPOWER,Mar 2023,7166,-7263,1341,1243
1085,TATAPOWER,Mar 2024,12596,-9027,-4497,-928
1086,TATASTEEL,Mar 2013,14035,-13099,-1780,-844
1087,TATASTEEL,Mar 2014,13146,-15378,1015,-1218
1088,TATASTEEL,Mar 2015,11880,-9021,-2617,241
1089,TATASTEEL,Mar 2016,11455,-8794,-4729,-2068
1090,TATASTEEL,Mar 2017,10824,-9490,-2579,-1245
1091,TATASTEEL,Mar 2018,8023,-11730,6640,2933
1092,TATASTEEL,Mar 2019,25336,-29176,-673,-4513
1093,TATASTEEL,Mar 2020,20169,-14012,-1695,4462
1094,TATASTEEL,Mar 2021,44327,-9437,-37090,-2200
1095,TATASTEEL,Mar 2022,44381,-10905,-23401,10075
1096,TATASTEEL,Mar 2023,21683,-18179,-6981,-3477
1097,TATASTEEL,Mar 2024,20301,-14253,-11097,-5049
1098,TCS,Mar 2013,11615,-6038,-5729,-152
1099,TCS,Mar 2014,14751,-9452,-5673,-374
1100,TCS,Mar 2015,19369,-1807,-17168,394
1101,TCS,Mar 2016,19109,-5010,-9666,4433
1102,TCS,Mar 2017,25223,-16895,-11026,-2698
1103,TCS,Mar 2018,25067,3104,-26885,1286
1104,TCS,Mar 2019,28593,1645,-27897,2341
1105,TCS,Mar 2020,32369,8968,-39915,1422
1106,TCS,Mar 2021,38802,-7956,-32634,-1788
1107,TCS,Mar 2022,39949,-738,-33581,5630
1108,TCS,Mar 2023,41965,548,-47878,-5365
1109,TCS,Mar 2024,44338,6091,-48536,1893
1110,TECHM,Mar 2013,855,-622,65,298
1111,TECHM,Mar 2014,1596,291,-972,915
1112,TECHM,Mar 2015,2448,-1865,-829,-246
1113,TECHM,Mar 2016,3137,-1453,-496,1188
1114,TECHM,Mar 2017,4071,-2893,-1571,-392
1115,TECHM,Mar 2018,3554,-3319,-269,-35
1116,TECHM,Mar 2019,4432,-2104,-2251,77
1117,TECHM,Mar 2020,4358,1081,-4466,974
1118,TECHM,Mar 2021,8094,-5433,-2987,-326
1119,TECHM,Mar 2022,5285,480,-4667,1098
1120,TECHM,Mar 2023,5572,-226,-5078,267
1121,TECHM,Mar 2024,6376,-1318,-4767,291
1122,TITAN,Mar 2013,553,-142,-236,176
1123,TITAN,Mar 2014,-555,-271,497,-329
1124,TITAN,Mar 2015,503,-118,-1005,-620
1125,TITAN,Mar 2016,576,-159,-505,-88
1126,TITAN,Mar 2017,1712,-953,-166,594
1127,TITAN,Mar 2018,-51,98,-252,-206
1128,TITAN,Mar 2019,1243,-797,-489,-43
1129,TITAN,Mar 2020,-348,235,-242,-355
1130,TITAN,Mar 2021,4139,-2799,-1234,106
1131,TITAN,Mar 2022,-724,1165,-403,38
1132,TITAN,Mar 2023,1370,-1814,457,13
1133,TITAN,Mar 2024,1695,-189,-1329,177
1134,TORNTPHARM,Mar 2013,153,-247,20,-73
1135,TORNTPHARM,Mar 2014,599,-418,86,268
1136,TORNTPHARM,Mar 2015,810,-2113,1212,-90
1137,TORNTPHARM,Mar 2016,2742,-869,-1435,437
1138,TORNTPHARM,Mar 2017,1009,-798,-193,18
1139,TORNTPHARM,Mar 2018,894,-4677,3417,-366
1140,TORNTPHARM,Mar 2019,1798,-246,-1314,238
1141,TORNTPHARM,Mar 2020,1393,229,-1549,73
1142,TORNTPHARM,Mar 2021,2005,-444,-1651,-89
1143,TORNTPHARM,Mar 2022,1803,-196,-1781,-174
1144,TORNTPHARM,Mar 2023,2368,-2335,77,110
1145,TORNTPHARM,Mar 2024,3266,-160,-2780,327
1146,TRENT,Mar 2013,31,-276,147,-97
1147,TRENT,Mar 2014,-46,-48,-50,-145
1148,TRENT,Mar 2015,-10,-306,310,-6
1149,TRENT,Mar 2016,109,-98,-13,-2
1150,TRENT,Mar 2017,102,-44,-51,7
1151,TRENT,Mar 2018,77,-4,-74,-1
1152,TRENT,Mar 2019,21,-37,37,21
1153,TRENT,Mar 2020,361,-809,452,5
1154,TRENT,Mar 2021,285,18,-283,20
1155,TRENT,Mar 2022,58,56,-108,6
1156,TRENT,Mar 2023,595,-103,-491,1
1157,TRENT,Mar 2024,1349,-508,-629,211
1158,TVSMOTOR,Mar 2013,464,-120,-402,-58
1159,TVSMOTOR,Mar 2014,470,-235,-216,19
1160,TVSMOTOR,Mar 2015,83,-415,261,-71
1161,TVSMOTOR,Mar 2016,936,-605,-319,12
1162,TVSMOTOR,Mar 2017,689,-709,-59,-79
1163,TVSMOTOR,Mar 2018,354,-1095,897,156
1164,TVSMOTOR,Mar 2019,-918,-1104,2210,188
1165,TVSMOTOR,Mar 2020,373,-1090,1619,902
1166,TVSMOTOR,Mar 2021,1151,-882,264,532
1167,TVSMOTOR,Mar 2022,-1575,-1471,2918,532
1168,TVSMOTOR,Mar 2023,-4405,-1308,6118,406
1169,TVSMOTOR,Mar 2024,-1253,-1001,2759,505
1170,ULTRACEMCO,Mar 2013,3618,-4362,715,-30
1171,ULTRACEMCO,Mar 2014,3455,-2342,-949,164
1172,ULTRACEMCO,Mar 2015,4190,-2144,-2110,-63
1173,ULTRACEMCO,Mar 2016,4526,-3673,-844,8
1174,ULTRACEMCO,Mar 2017,5005,-2501,-2535,-31
1175,ULTRACEMCO,Mar 2018,3888,1866,-5735,18
1176,ULTRACEMCO,Mar 2019,5956,1165,-6757,364
1177,ULTRACEMCO,Mar 2020,8972,-4192,-5076,-295
1178,ULTRACEMCO,Mar 2021,12500,-8856,-4356,-712
1179,ULTRACEMCO,Mar 2022,9283,2257,-12498,-958
1180,ULTRACEMCO,Mar 2023,9069,-7188,-1631,250
1181,ULTRACEMCO,Mar 2024,10898,-8789,-1926,183
1182,UNIONBANK,Mar 2013,-4245,-343,5096,507
1183,UNIONBANK,Mar 2014,2570,-363,4902,7109
1184,UNIONBANK,Mar 2015,-3567,-318,3168,-718
1185,UNIONBANK,Mar 2016,81,-9,-2,70
1186,UNIONBANK,Mar 2017,-6624,-280,10194,3289
1187,UNIONBANK,Mar 2018,6097,-315,10792,16574
1188,UNIONBANK,Mar 2019,-7778,-297,1758,-6317
1189,UNIONBANK,Mar 2020,-77,-4,201,121
1190,UNIONBANK,Mar 2021,20527,-601,-18861,1066
1191,UNIONBANK,Mar 2022,36339,-558,-786,34995
1192,UNIONBANK,Mar 2023,6056,-2561,-10654,-7159
1193,UNIONBANK,Mar 2024,19930,-1394,-11489,7047
1194,UNITDSPR,Mar 2013,1969,-1121,-992,-145
1195,UNITDSPR,Mar 2014,-552,-252,1235,431
1196,UNITDSPR,Mar 2015,-196,3855,-4002,-343
1197,UNITDSPR,Mar 2016,283,733,-1155,-139
1198,UNITDSPR,Mar 2017,647,-227,-475,-56
1199,UNITDSPR,Mar 2018,925,104,-966,63
1200,UNITDSPR,Mar 2019,948,-66,-808,74
1201,UNITDSPR,Mar 2020,783,-194,-740,-150
1202,UNITDSPR,Mar 2021,1818,-99,-1707,12
1203,UNITDSPR,Mar 2022,977,-313,-688,-23
1204,UNITDSPR,Mar 2023,615,-55,-500,60
1205,UNITDSPR,Mar 2024,1118,226,-407,937
1206,VBL,Dec 2012,280,-507,229,3
1207,VBL,Dec 2013,297,-574,274,-2
1208,VBL,Dec 2014,431,-500,58,-11
1209,VBL,Dec 2015,555,-300,-236,19
1210,VBL,Dec 2016,826,-1048,230,8
1211,VBL,Dec 2017,620,-746,159,32
1212,VBL,Dec 2018,1000,-937,-84,-22
1213,VBL,Dec 2019,1308,-2320,1107,95
1214,VBL,Dec 2020,1012,-472,-574,-33
1215,VBL,Dec 2021,1231,-1008,-178,46
1216,VBL,Dec 2022,1790,-1769,-18,4
1217,VBL,Dec 2023,2391,-3288,985,88
1218,VEDL,Mar 2013,22,-311,238,-51
1219,VEDL,Mar 2014,15601,-2890,-5052,7659
1220,VEDL,Mar 2015,17805,-4133,-13956,-284
1221,VEDL,Mar 2016,20377,-7868,-11303,1206
1222,VEDL,Mar 2017,18083,2681,-12425,8339
1223,VEDL,Mar 2018,17366,15480,-39255,-6409
1224,VEDL,Mar 2019,23754,-10594,-10242,2918
1225,VEDL,Mar 2020,19300,-5925,-15547,-2172
1226,VEDL,Mar 2021,23980,-6678,-17565,-263
1227,VEDL,Mar 2022,34963,-2243,-28903,3817
1228,VEDL,Mar 2023,33065,-668,-34142,-1745
1229,VEDL,Mar 2024,35654,-13676,-26092,-4114
1230,WIPRO,Mar 2013,6394,-4536,-1140,717
1231,WIPRO,Mar 2014,6790,-284,-3570,2936
1232,WIPRO,Mar 2015,7840,-2537,-830,4474
1233,WIPRO,Mar 2016,7887,-13761,-159,-6032
1234,WIPRO,Mar 2017,9277,-11770,-2275,-4767
1235,WIPRO,Mar 2018,8423,3595,-12998,-979
1236,WIPRO,Mar 2019,11632,5065,-4937,11760
1237,WIPRO,Mar 2020,10064,3593,-15100,-1442
1238,WIPRO,Mar 2021,14755,685,-12884,2556
1239,WIPRO,Mar 2022,11080,-22321,4659,-6583
1240,WIPRO,Mar 2023,13060,-8169,-6088,-1197
1241,WIPRO,Mar 2024,17622,1144,-18257,509
1242,ZOMATO,Mar 2020,-2144,1740,359,-45
1243,ZOMATO,Mar 2021,-1018,-5245,6402,139
1244,ZOMATO,Mar 2022,-693,-7971,8750,86
1245,ZOMATO,Mar 2023,-844,797,-127,-174
1246,ZOMATO,Mar 2024,646,-348,-207,91
1247,ZYDUSLIFE,Mar 2013,603,-682,286,207
1248,ZYDUSLIFE,Mar 2014,903,-438,-529,-64
1249,ZYDUSLIFE,Mar 2015,994,-465,-351,178
1250,ZYDUSLIFE,Mar 2016,1894,-860,-935,99
1251,ZYDUSLIFE,Mar 2017,1312,-2872,2316,756
1252,ZYDUSLIFE,Mar 2018,919,-974,52,-3
1253,ZYDUSLIFE,Mar 2019,1282,-3977,1885,-811
1254,ZYDUSLIFE,Mar 2020,2932,-1004,-1528,399
1255,ZYDUSLIFE,Mar 2021,3294,-837,-2548,-90
1256,ZYDUSLIFE,Mar 2022,2104,-1018,-868,219
1257,ZYDUSLIFE,Mar 2023,2689,1542,-4400,-170
1258,ZYDUSLIFE,Mar 2024,3228,-1492,-1810,-75
